url,path,content,status_code,title,meta_description,multiple_h1,h1_1,multiple_canonical,canonical_link_1
https://georgechristie.dev/portfolio/keyword-wrapper/,/portfolio/keyword-wrapper/,text/html; charset=utf-8,200,Keyword Wrapper & Combination Tool | George Christie Development,Combine lists of keywords and choose your match types. This swiss army knife of keyword tools will help speed up the creation of your PPC campaigns.,1,Keyword Wrapper,1,https://georgechristie.dev/portfolio/keyword-wrapper/
https://georgechristie.dev/contact/,/contact/,text/html; charset=utf-8,200,Contact | George Christie Development,"I am a self-taught web developer, specialising in the Django framework.",1,Contact,1,https://georgechristie.dev/contact/
https://georgechristie.dev/portfolio/upriseup/,/portfolio/upriseup/,text/html; charset=utf-8,200,upriseUP | George Christie Development,"I am a self-taught web developer, specialising in the Django framework.",1,upriseUP,1,https://georgechristie.dev/portfolio/upriseup/
https://georgechristie.dev/portfolio/,/portfolio/,text/html; charset=utf-8,200,Portfolio | George Christie Development,"I am a self-taught web developer, specialising in the Django framework.",1,Portfolio,1,https://georgechristie.dev/portfolio/
https://georgechristie.dev/,/,text/html; charset=utf-8,200,George Christie Development,"I am a self-taught web developer, specialising in the Django framework.",3,"Hello, I'm ,.,
I'm a self-taught Django developer.",1,https://georgechristie.dev/
url,path,content,status_code,title,meta_description,multiple_h1,h1_1,multiple_canonical,canonical_link_1
https://georgechristie.dev/,/,text/html; charset=utf-8,200,George Christie Development,"I am a self-taught web developer, specialising in the Django framework.",1,"Hello, I'm ,.,
I'm a self-taught Django developer.",1,https://georgechristie.dev/
https://georgechristie.dev/portfolio/keyword-wrapper/,/portfolio/keyword-wrapper/,text/html; charset=utf-8,200,Keyword Wrapper & Combination Tool | George Christie Development,Combine lists of keywords and choose your match types. This swiss army knife of keyword tools will help speed up the creation of your PPC campaigns.,1,Keyword Wrapper,1,https://georgechristie.dev/portfolio/keyword-wrapper/
https://georgechristie.dev/portfolio/upriseup/,/portfolio/upriseup/,text/html; charset=utf-8,200,upriseUP | George Christie Development,"I am a self-taught web developer, specialising in the Django framework.",1,upriseUP,1,https://georgechristie.dev/portfolio/upriseup/
https://georgechristie.dev/portfolio/,/portfolio/,text/html; charset=utf-8,200,Portfolio | George Christie Development,"I am a self-taught web developer, specialising in the Django framework.",1,Portfolio,1,https://georgechristie.dev/portfolio/
https://georgechristie.dev/contact/,/contact/,text/html; charset=utf-8,200,Contact | George Christie Development,"I am a self-taught web developer, specialising in the Django framework.",1,Contact,1,https://georgechristie.dev/contact/
